block_number,block_timestamp_utc,transaction_index,transaction_hash,method,call_scope,outer_method,traced_token_method,trace_status,trace_token_call_count,trace_address,trace_from_address,tx_from_address,tx_to_address,transfer_log_count,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8949226,2019-11-17 07:31:41 UTC,146,0x1cd8fad034ac91c7bfef424ff62dc1b680a0827686da2b8c3560d66d736cd055,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949233,2019-11-17 07:34:04 UTC,130,0x1fd61d69bd0ea7c3e55928b4e628daca23367567a991f679b61c6757196d58f3,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949233,2019-11-17 07:34:04 UTC,131,0x16ae233771842f88bf865e213dfa25db1140349b1511e206fb70e2a1a58978a3,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949233,2019-11-17 07:34:04 UTC,132,0xcce335e2aa8e011c05d562ca1d1ac6d88918bb50a48df904f4ab02c6959c453b,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949233,2019-11-17 07:34:04 UTC,133,0x5b8b16faee6fa1cdfdaa84f1367b73e37e34629e2edf507549875181e558502c,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949234,2019-11-17 07:34:06 UTC,160,0x6471d845f12060c4289c699d1ff7deb7d1fbc4dda743261991cdb0b56b5f302f,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949234,2019-11-17 07:34:06 UTC,161,0x435b18247218b9fbee0cf64b3394edd6e7408e73dfb4c5ccfce6599458530bb0,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949237,2019-11-17 07:35:06 UTC,80,0xfd1b05d0cac48369e3bd340e2196ee06eb8393060f43618dabc567d7d9470f6c,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949237,2019-11-17 07:35:06 UTC,81,0x54a0a0d17182d5f30ecf1be735eba4f437839e791d19aafd58924f5e17bd55c1,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949239,2019-11-17 07:35:38 UTC,169,0x5fcf2280a10a8bbcf1dbb4a00fe17745430c8d70e692c77190f10fb090f132a7,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949239,2019-11-17 07:35:38 UTC,170,0xdffc8597ef1195481cc5f28bf5340b915962ec82ac93acc3fd5059d760af3c09,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949241,2019-11-17 07:35:49 UTC,23,0x5e1b2c60eedc7e4ca42a7cee8dbd62202b7b04f8a828eb7a50d14829a206f2ed,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949241,2019-11-17 07:35:49 UTC,24,0xf88aea82a4a4876aa34b953e5809ca9a410d82a09aa3746153ca9bdaf6a3d480,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949245,2019-11-17 07:36:35 UTC,111,0x162b0f661ea63677aa3ae136bab1922d77ce703b7e67c400562c686a64a34256,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
