block_number,block_timestamp_utc,transaction_hash,transaction_index,method,call_scope,counter_relevant,direct_transfer_ordinal,transfer_from_ordinal,random_before,random_after,counter_action,counter_certainty_before,counter_certainty_after,expected_full_burn_from_counter,observed_full_burn_candidate,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8943694,2019-11-16 09:44:44 UTC,0xf86076a2e36801377e9755fa54f827e636b3232b6044d3257479c9a389388b02,101,"transfer(address,uint256)",direct_contract_call,True,63,,62,63,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943697,2019-11-16 09:45:19 UTC,0x18960a5757fd8c47c6960cbfddbb14ed291bddadd3e38c7a5e34d4f6bfd98c22,173,"transfer(address,uint256)",direct_contract_call,True,64,,63,64,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943697,2019-11-16 09:45:19 UTC,0xb15413dbb38e4bc4a51e76b74869fb6f3fdaadb78e34d8ff8660228c0f2dff7f,174,"transfer(address,uint256)",direct_contract_call,True,65,,64,65,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943698,2019-11-16 09:45:33 UTC,0xb4c0e41de8debf80804b335ef4ae4884cba55c920536d53e6eff2ea6ca87c5fb,137,"transfer(address,uint256)",direct_contract_call,True,66,,65,66,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943703,2019-11-16 09:46:33 UTC,0xde8ab3c59f2e44282afe2272bbf517f52289d4d447c6fca17eb0bce508dcff0d,216,"transfer(address,uint256)",direct_contract_call,True,67,,66,67,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943703,2019-11-16 09:46:33 UTC,0x018fc83878936223d5c0e3ae5023d853e99f1e7bfde5563559672583ed47a08b,217,"transfer(address,uint256)",direct_contract_call,True,68,,67,68,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943703,2019-11-16 09:46:33 UTC,0x0cc95a2de47ae741cbf4665c7df10df53b9b98f2359a41b3b9d8bcb6ed60c6cf,218,"transfer(address,uint256)",direct_contract_call,True,69,,68,69,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943708,2019-11-16 09:47:44 UTC,0x8eecb9a6c1b7f47616e7206493e397b406ccbf8c424b48f2c09739b2eab5a135,153,"transfer(address,uint256)",direct_contract_call,True,70,,69,70,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943708,2019-11-16 09:47:44 UTC,0x098de4c2fbee873f5e9a9e433ab14cd3c210256aa16dcbc174ff0eff8862f675,154,"transfer(address,uint256)",direct_contract_call,True,71,,70,71,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943710,2019-11-16 09:47:49 UTC,0xed25347f76cb0e2784fb8bec3532e5e9d64d4834adff25329c231cce9b01ceec,59,"transfer(address,uint256)",direct_contract_call,True,72,,71,72,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
